TABLE_NAME,PK
CustomerGuarantees,ID
CustomerHistories,ID
CustomerLiabilities,ID
Customers,ID
CustomerStages,ID
CustomerTAMs,ID
CustomerTypes,ID
DashboardDescriptions,ID
DashboardPermissions,ID
DashboardPrivileges,ID
DayOffWeeks,ID
DayOfWorks,ID
DecidedServiceCustomers,ID
DecidedServices,ID
DecidedServiceTypeApproveDetails,ID
DecidedServiceTypeApproves,ID
DecidedServiceTypes,ID
DecidedServiceUsers,ID
DecisionDetails,ID
Departments,ID
DetectedErrors,ID
DiskUploads,ID
DocSpaces,ID
DocumentaryTypes,ID
DocumentConditions,ID
DocumentDeploys,ID
DocumentLogs,ID
Documents,ID
DocumentTypeProperties,ID
DocumentTypes,ID
DocumentTypeTabs,ID
DocumentTypeValues,ID
DowloadFileLogs,ID
DragDropTemplates,ID
EarningMoneys,ID
EmployeeTypePriceHistories,ID
EmployeeTypePrices,ID
EmployeeTypes,ID
EmployeeTypeVersions,ID
EnvironmentTypes,ID
EstimateContracts,ID
EstimateGuarantees,ID
Estimates,ID
Features,ID
FeatureSectors,ID
FeedbackAnswers,ID
FeedbackCategories,ID
Feedbacks,ID
FileAttachForAssignments,ID
FileAttachments,ID
FileDotConfigs,ID
FileTitleDefinitions,ID
FileTypeGroups,ID
FilterInstants,ID
FilterLayers,ID
FinalCostMandayRates,ID
FinalizationChecks,ID
FinalizationConsultantCostMandays,ID
FinalizationConsultants,ID
FinalizationContracts,ID
FinalizationContractsRequests,ID
FinalizationCostForMandayExperts,ID
FinalizationCostForMoneys,ID
FinalizationCostMandayBlockPrices,ID
FinalizationDetails,ID
FinalizationEstimates,ID
FinalizationInternalCostMandays,ID
FinalizationInternals,ID
FinalizationNeedContracts,ID
FinalizationPrices,ID
Folders,ID
FormValidations,ID
FunctionLists,ID
Fund0013Config,ID
FundDetails,ID
FundInstants,ID
FundLockContractLogs,ID
FundPreloads,ID
FuntionApis,ID
GanttDependencies,ID
GanttResourceAssignments,ID
GanttResources,ID
GanttTasks,ID
GeneralNotifications,ID
GenneralAnnouncements,ID
GroupHistories,ID
GroupLogs,ID
GroupProfitCenters,ID
GroupRoles,ID
Groups,ID
GroupTitles,ID
GroupTypes,ID
HandOverJobItems,ID
HandOverJobLogs,ID
HandOverJobs,ID
HandOverReportConfigDetails,ID
HandOverReportConfigs,ID
HandOverReportItemDetails,ID
HandOverReportItems,ID
HandOverReports,ID
HistoryContractLocks,ID
HistoryImportDataWarrantyHNDetails,ID
HistoryImportDataWarrantyHNs,ID
HistoryMailUsers,ID
Holidays,ID
HomePrivileges,ID
HRCandidateReviews,ID
HRCandidates,ID
HRDetailEvaluations,ID
HRDetailRecruitments,ID
HREvaluations,ID
HREvualutionChats,ID
HRSkills,ID
IndirectNumberConfigs,ID
IndirectNumberDateConfigs,ID
IndustryTypes,ID
Invoices,ID
InvoiceVouchersTypes,ID
IssueeMessages,ID
Issuees,ID
JobTitles,ID
JobTypePrices,ID
JobTypes,ID
JobTypeVersions,ID
KMSCatalogs,ID
