Advance
AfterVAT
Amount
Approved
AssignHour
B
B_Consultant
B_Deploy
BaseMoney
BeforeVAT
BidValue
Budget
ChiPhiBangTien
ChiPhiManDay
Clearing
ConsultantByMoney
ConsultantManday
ConsultantPrice
ContractBVat
ContractRevenueLock
Cost
CostByMoney
CostNew
CostOld
CostPercen
CostPrice
CostPriceNew
CostPriceNow
CountHours
CPNC
CreditLimited
CumulativeValue
CurrentPayment
Debt
DeloymentManday
DeployByMoney
DeploymentPrice
DeptNumber
DoanhSo
DoanhThu
EstimateContractProfit
EstimateContractRevenue
EstimateHour
EstimateRevenue
EstimateRevenueExist
EstimateTotalPrice
ExceededFactor
ExcessFund
ExchangeRate
ExpectedRevenue
ExpectedRevenueXHD
FastPrice
FeeAmt
FeeVAT
Finalization
FinalizationContractProfitReal
FinalizationContractProfitTemp
FinalizationContractRevenueReal
FinalizationContractRevenueTemp
FinancialIncome
FinePercent
FinishTotalManday
FinishTotalMoney
FromValue
Fund0013LimitDivision
Fund0013LimitRoom
Fund1
Fund2
FundCD
FundCenter
FundCompany
FundDivision
FundDVMN
FundGroup
FundLimitCenter
FundLimitDivision
FundLimitGroup
FundOfQuarter
FundSBP
FundTAM
FundValue
Giờ DT
Giờ thực tế
GrossProfit
GrossProfitXHD
GroupValue
GuaranteeValue
H_Assign
H_DaLam
H_Estimate
H_Real
HBTL
Hour
HourAssigned
HourWorked
IsIts
K
KK
KPIns
KPIplus
KPIResult
KTotalBeforeVAT
L1
L1Fix
L1Percent
L2
L2Fix
L2Percent
L3
L3Fix
L3Percent
L4
L4Fix
L4Percent
L5
LaiGop
LeaseServiceCost
License
LicensePrice
LNGop
LNThuan
LoiNhuanGop
LoiNhuanThuan
MandayLimited
Marketing
MarketingPrice
MaterialOtherPrice
MaterialPrice
MaterialQuantity
Minimum
Money
MoneyBrowsing
MoneyContractsBeforeVat
MoneyExist
MoneyInvoices
MoneyLimited
MoneyMandayConsul
MoneyMandayDeloy
MoneyRevenueInternal
MoneySpent
Month1Fund
Month2Fund
Month3Fund
NDVCB
NDVHT
NDVKTIT
NDVMS
NetProfitKTO
